Categoria_Amazon;Categorias_ML_Correlacionadas;Fonte;ASIN;Nome;Preço;Nota;Avaliações;Categoria_Original
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB39356857;Macarrão Espaguete Nº 8 Com Ovos Camil 500g;8,00;4,9;2102.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB17964139;Sal Rosa Do Himalaia Fino Smart Integral Em Pouch Sem Glúten 1 Kg;22,41;4,8;6173.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB18309809;Nutella Creme De Avelã 1 Uni 650g;42,90;4,9;11789.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB42684445;Supercoffee Língua De Gato - Economic Size (380g) - Caffeine Army Chocolate Ao Leite;199,80;4,9;5596.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB18310757;Leite Pó Integral Italac Pacote 400g;14,49;4,9;7318.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB29338452;Água Cristal Gold Copo 200ml Caixa Com 48 Unidades;28,99;4,9;996.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB23900053;Água Mineral Com Gás Prata Garrafa 510ml Pack C/12 Un;34,49;4,9;1785.0;Alimentos e Bebidas
Automotivo;Acessórios para Veículos;Amazon;B076X7T368;Espuma Mágica Aerossol 400ml / 370g;22,43;4,5;11.776;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B0CLDRS18S;WAP Aspirador de Pó Automotivo CAR 12V2, Portátil, 420ml, com Recipiente Removível e Filtro Lavável, 180W 12VDC;105;4,5;3.212;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B07WZQC1NJ;CAPACETE ABERTO PRO TORK NEW LIBERTY 3 SOLID PRETO FOSCO TAM. 60;109;4,6;15.09;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B08VBK2Z35;Vonixx SINTRA FAST - Multilimpador flotador universal, bactericida e germicida de pH balanceado, 500ML;25,47;4,8;2.311;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B09N9TYTSJ;Veda Porta Rolinho em Couro Sintético – Isolamento Térmico, Acústico, Protege Contra Insetos e Luz – Branco 80cm - Comfort Door;25,6;4,6;2.099;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B08B1VX8RY;Vonixx INTENSE - Renovador de plásticos com proteção UV, 500ML;30,36;4,8;2.578;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B0027ZC2MU;Bosch Palheta Dianteira Aerofit AF26, Limpador de Para-brisa com Tratamento de Grafite, 26 Polegadas 650 mm, Unitário Preta;;4,6;5.224;Automotivo
Automotivo;Acessórios para Veículos;Amazon;B0CTD5MCW1;Snow Foam Pump 3 Em 1 Manual Espuma Água Químicos SGT-9924;47,9;4,6;425.0;Automotivo
