Categoria_Amazon;Categorias_ML_Correlacionadas;Produto_Amazon;ASIN_Amazon;Status
Automotivo;Acessórios para Veículos;Kit V-Floc Shampoo Neutro Super Concentrado Automotivo + Cera Liquida Protetora Tok Final Vonixx Luva Pano Microfibra;B0CGGBT8FN;Agrupado por categoria
Automotivo;Acessórios para Veículos;Luva de Microfibra, Tramontina;B07XH8PP78;Agrupado por categoria
Automotivo;Acessórios para Veículos;Bosch Lâmpada de Farol H11 Bosch Pure Light - 12V 55W;B00CJO4XYE;Agrupado por categoria
Bebês;Bebês;Fralda Turma da Mônica Baby Mega P 62 Unidades;B099KTRZP7;Agrupado por categoria
Bebês;Bebês;Huggies Fralda Descartável Supreme Care, Tamanho G, com Tecnologia Xtra-Flex 160 Unidades;B0BFXKZQ2Y;Agrupado por categoria
Bebês;Bebês;MamyPoko Lenços Umedecidos Dia&Noite 200 Unidades;B09BBDVPB1;Agrupado por categoria
Bebês;Bebês;Bepantol Baby Pomada Assadura Bebe Hipoalergênica 120g;B07MLKGDDH;Agrupado por categoria
Bebês;Bebês;Fralda Pom Pom Protek Proteção de Mãe Hiper G 68 Unidades;B0979VS2JH;Agrupado por categoria
Bebês;Bebês;Fralda Pants Huggies Proteção Acolchoada Tamanho G 60 unidades – Nova fralda Supreme Care estilo roupinha, que veste como shortinho e com cintura acolchoada super macia que previne marquinhas, fácil de colocar e tirar (embalagem pode variar);B07GR5T4RF;Agrupado por categoria
Bebês;Bebês;Huggies Lenços Umedecidos Rosto e Corpo Limpeza 4 x 48-192 lenços;B07MJ251Z8;Agrupado por categoria
Bebês;Bebês;Granado Sabonete Líquido Bebê, Tradicional, 500ml;B08LK15F8N;Agrupado por categoria
Bebês;Bebês;Lenços Umedecidos Pampers Cuidado de bebê, 576 Unidades;B0B9959CWN;Agrupado por categoria
Bebês;Bebês;Huggies Lenços Umedecidos Recém-Nascido Sem Fragrância 6 x 48 Un;B07FN7T2LK;Agrupado por categoria
Bebês;Bebês;Fralda Pampers Pants Ajuste Total tamanho XG, Fácil de Vestir, 86 Unidades;B0C6KY4152;Agrupado por categoria
Bebês;Bebês;Lenços Umedecidos Pampers Aroma de Aloe Vera 192 Unidades;B082L13YPQ;Agrupado por categoria
Bebês;Bebês;Huggies Fralda Descartável Premium Natural Care RN - 34 Fraldas;B095R9CKYR;Agrupado por categoria
Bebês;Bebês;Fralda Pampers Recém-Nascido Tamanho RN+ 36 Unidades;B07GPV56NS;Agrupado por categoria
Bebês;Bebês;Fralda Pampers Premium Care Recém-Nascido RN 36 Unidades;B07GQB93FT;Agrupado por categoria
Bebês;Bebês;Baby Dove Sabonete Líquido Da Cabeça Aos Pés Hidratação Enriquecida 400Ml;B078HS3SKS;Agrupado por categoria
